   R0625040000030324Instrumentos financieros                      
0615330000BR41060308          19810531BRP500000000002145467INP    
0615330000BR35061007          19850430BRP500000000000894800INP    
0615330000BR41081104          19810531BRP500000000002377265INP    
0615330000BR41060212          19810531BRP500000000001899574INP    
0615330000BR41060503          19810531BRP500000000002495609INP    
0615330000BR41060115          19810531BRP500000000001737771INP    
0615330000BR32160310          19820430BRP500000000001836308INP    
0615330000BR01061203          19811130BRP500000000002298391INP    
0615330000BR61291103          19810731BRP500000000002404789INP    
0615330000BR43130602          19830531BRP500000000001742910INP    
0615330000BR61220808          19810731BRP500000000002066402INP    
0615330000BR41260310          19810531BRP500000000002014159INP    
0615330000BR61150310          19810731BRP500000000001970928INP    
0615330000BR41290904          19810531BRP500000000002387734INP    
0615330000BR41200104          19810531BRP500000000002438693INP    
0615330000BR41081001          19810531BRP500000000002612047INP    
0615330000BR41290507          19810531BRP500000000002198895INP    
0615330000BR71310512          19810831BRP500000000001826718INP    
0615330000BR55230103          19850630BRP500000000000988104INP    
0615330000BR97121002          19871031BRP500000000000595360INP    
0615330000BR71080904          19810831BRP500000000002318394INP    
0615330000BR94090905          19841031BRP500000000001167062INP    
0615330000BR61020404          19810731BRP500000000002374201INP    
0615330000BR72140207          19820831BRP500000000001955626INP    
0615330000BR91230309          19811031BRP500000000001961863INP    
0615330000BR6B020111          19920731BRP500000000000169515INP    
0615330000BR81010108          19810930BRP500000000002062363INP    
0615330000BR91180906          19811031BRP500000000002116035INP    
0615330000BR51060402          19810630BRP500000000002530296INP    
0615330000BRA2281002          19821231BRP500000000001897368INP    
0615330000BR72090601          19820831BRP500000000002330779INP    
0615330000BR71201102          19810831BRP500000000002451570INP    
0615330000BR51120901          19810630BRP500000000002573927INP    
0615330000BR32150614          19820430BRP500000000001612587INP    
0615330000BR7A210107          19910831BRP500000000000222999INP    
0615330000BR72050106          19820831BRP500000000002026257INP    
0615330000BR61301209          19810731BRP500000000001986528INP    
0615330000BRA3090205          19831231BRP500000000001370017INP    
0615330000BRA1220805          19811231BRP500000000002168579INP    
0615330000BR61301110          19810731BRP500000000001930766INP    
0615330000BR82080805          19820930BRP500000000001980815INP    
0615330000BRA1220601          19811231BRP500000000002456160INP    
0615330000BR72061007          19820831BRP500000000001918975INP    
0615330000BRA1210911          19811231BRP500000000001796049INP    
0615330000BRB1111209          19820131BRP500000000001876526INP    
0615330000BRBB230902          19930131BRP500000000000198718INP    
0615330000BR72050805          19820831BRP500000000002052539INP    
0615330000BR51130701          19810630BRP500000000002587355INP    
0615330000BR91030706          19811031BRP500000000002133687INP    
0615330000BR79131107          19890831BRP500000000000363708INP    
0615330000BR72030910          19820831BRP500000000001752691INP    
0615330000BRA2020203          19821231BRP500000000001880891INP    
0615330000BR91260307          19811031BRP500000000002087517INP    
0615330000BR51130603          19810630BRP500000000002445238INP    
0615330000BRA1150108          19811231BRP500000000002007756INP    
0615330000BR81190107          19810930BRP500000000002120211INP    
